model_Ba_molL_frac,model_Ca_molL_frac,model_Fe_molL_frac,model_K_molL_frac,model_Li_molL_frac,model_Mg_molL_frac,model_Mn_molL_frac,model_Na_molL_frac,model_Sr_molL_frac,model_Br_molL_frac,model_Cl_molL_frac,model_C_molL_frac,model_SO4_molL_frac,model_B_molL_frac,model_Si_molL_frac,TDS_log10,well_depth_ft,Cluster,dec_lat_va,dec_long_va
-inf,0.358974358974359,0.0,0.0036630036630036634,0.0,0.11355311355311355,0.0,0.5238095238095238,0.0,0.0,0.2967409948542024,0.20926243567753003,0.4939965694682676,0.0011587485515643105,0.006952491309385862,3.593902726019262,80.5,0,31.94,-106.62
-inf,0.208955223880597,0.0,0.02736318407960199,0.0,0.1144278606965174,0.0,0.6492537313432837,0.0,0.0,0.5,0.11538461538461538,0.3846153846153846,0.0,0.00911854103343465,3.4173386940290684,130.0,1,32.06,-106.64
-inf,0.5409836065573771,0.0,0.00819672131147541,0.0,0.18032786885245905,0.0,0.27049180327868855,0.0,0.0,0.22480620155038758,0.2558139534883721,0.5193798449612403,0.0,0.014204545454545458,3.245463831615058,147.0,0,32.07,-106.7
-inf,0.10576923076923077,0.0,0.03846153846153846,0.0,0.03846153846153846,0.0,0.8173076923076923,0.0,0.0,0.2897196261682243,0.32710280373831774,0.38317757009345793,0.0,0.01876675603217158,3.1967113836290646,60.0,1,32.12,-106.65
-inf,0.543859649122807,0.0,0.013157894736842106,0.0,0.15789473684210528,0.0,0.2850877192982456,0.0,0.0,0.9304347826086957,0.03478260869565218,0.03478260869565218,0.0,0.010582010582010585,3.1255071599404283,464.0,2,32.17,-106.39
-inf,0.43529411764705883,0.0,0.011764705882352941,0.0,0.11764705882352941,0.0,0.43529411764705883,0.0,0.0,0.2456140350877193,0.19298245614035092,0.5614035087719299,0.0,0.0199203187250996,3.0859112077888935,40.0,0,32.22,-106.74
-inf,0.36681222707423583,0.0,0.017467248908296946,0.0,0.12227074235807862,0.0,0.4934497816593887,0.0,0.0,0.1878172588832487,0.24365482233502533,0.5685279187817258,0.0,0.00946372239747634,3.1691030698528384,24.8,0,32.22,-106.74
-inf,0.46305418719211827,0.0,0.009852216748768475,0.0,0.11822660098522167,0.0,0.4088669950738917,0.0,0.0,0.185,0.32499999999999996,0.49,0.0,0.016666666666666666,3.163036557034441,80.0,0,32.23,-106.77
-inf,0.4511278195488722,0.0,0.0075187969924812035,0.0,0.1729323308270677,0.0075187969924812035,0.3609022556390977,0.0,0.0,0.11683848797250858,0.2508591065292096,0.6323024054982818,0.0,0.012953367875647668,3.305398472793607,120.0,0,32.29,-106.8
-inf,0.47262247838616717,0.0,0.011527377521613832,0.0,0.12103746397694523,0.005763688760806916,0.38904899135446686,0.0,0.0,0.23976608187134504,0.2222222222222222,0.5380116959064327,0.0,0.012024048096192383,3.3800733132178173,50.0,0,32.29,-106.8
