model_Ba_molL_frac,model_Ca_molL_frac,model_Fe_molL_frac,model_K_molL_frac,model_Li_molL_frac,model_Mg_molL_frac,model_Mn_molL_frac,model_Na_molL_frac,model_Sr_molL_frac,model_Br_molL_frac,model_Cl_molL_frac,model_C_molL_frac,model_SO4_molL_frac,model_B_molL_frac,model_Si_molL_frac,TDS_log10,well_depth_ft,total_ion_molL,total_cations_eq,total_anions_eq,Cluster,ph,Ca_mgL,Mg_mgL,SO4_mgL,Na_mgL,Cl_mgL,K_mgL,Si_mgL
0.0,0.20512820512820515,0.0,0.0032051282051282055,0.0,0.1217948717948718,0.0,0.6698717948717948,0.0,0.0,0.31962025316455694,0.14240506329113922,0.5379746835443038,0.002012072434607646,0.008048289738430584,3.334337481389577,230.0,0.049699999999999994,0.0312,0.0316,1,7.7,130.0,47.0,820.0,480.0,360.0,5.6,24.0
0.0,0.13636363636363635,0.0,0.003787878787878788,0.0,0.12121212121212122,0.0,0.7386363636363636,0.0,0.0,0.2703703703703703,0.2333333333333333,0.49629629629629624,0.002277904328018223,0.011389521640091115,3.276753487752052,917.0,0.0439,0.0264,0.027000000000000003,1,7.6,71.0,38.0,640.0,450.0,260.0,5.7,29.0
0.0,0.14414414414414417,0.0,0.004504504504504505,0.0,0.11711711711711713,0.0,0.7342342342342343,0.0,0.0,0.4543478260869565,0.11521739130434783,0.4304347826086957,0.002652519893899204,0.00663129973474801,3.4803625161748624,120.0,0.07540000000000001,0.044399999999999995,0.046,1,7.6,130.0,63.0,950.0,750.0,740.0,6.4,30.0
0.0,0.21993127147766323,0.0,0.003436426116838488,0.0,0.1512027491408935,0.0,0.6254295532646048,0.0,0.0,0.4787775891341256,0.14770797962648555,0.37351443123938877,0.0010427528675703858,0.00521376433785193,3.5859875080371704,133.0,0.0959,0.0582,0.0589,1,7.6,255.0,106.0,1060.0,837.0,1000.0,9.53,30.6
0.0,0.13994169096209913,0.0,0.002915451895043732,0.0,0.11078717201166181,0.0,0.7463556851311954,0.0,0.0,0.34277620396600567,0.20396600566572237,0.45325779036827196,0.0017271157167530226,0.008635578583765112,3.386075290628335,159.0,0.0579,0.0343,0.0353,1,7.7,97.0,47.0,770.0,590.0,430.0,5.7,33.0
0.0,0.3088803088803089,0.0,0.003861003861003861,0.0,0.15057915057915058,0.0,0.5366795366795366,0.0,0.0,0.4309978768577495,0.15286624203821658,0.416135881104034,0.001287001287001287,0.005148005148005148,3.5072424900754573,100.0,0.0777,0.0518,0.047099999999999996,1,7.7,320.0,95.0,940.0,640.0,720.0,8.1,27.0
0.0,0.15036743923120405,0.0,0.0011305822498586774,0.0,0.00791407574901074,0.0,0.8405879027699265,0.0,0.0,0.6376554174067496,0.0035523978685612786,0.35879218472468916,0.0026463777704267286,0.0,4.033713409695621,210.0,0.3023,0.1769,0.1689,1,9.3,530.0,17.0,2900.0,3400.0,3800.0,9.5,0.5
0.0,0.21327014218009477,0.0,0.004739336492890996,0.0,0.14218009478672985,0.0,0.6398104265402843,0.0,0.0,0.4545454545454546,0.12272727272727274,0.42272727272727273,0.001430615164520744,0.005722460658082976,3.4548721358931047,195.0,0.0699,0.0422,0.044,1,7.6,180.0,74.0,890.0,620.0,710.0,7.0,25.0
0.0,0.14367816091954025,0.0,0.00574712643678161,0.0,0.12643678160919541,0.0,0.7241379310344828,0.0,0.0,0.34084507042253515,0.24788732394366195,0.41126760563380277,0.0016977928692699488,0.008488964346349744,3.391142124421332,162.4,0.05890000000000001,0.0348,0.035500000000000004,1,7.6,100.0,54.0,700.0,580.0,430.0,6.2,32.0
0.0,0.2196796338672769,0.0,0.0013729977116704805,0.0,0.04759725400457666,0.0,0.7295194508009153,0.0018306636155606408,0.0,0.7511170688114388,0.002234137622877569,0.24664879356568364,0.002070393374741201,0.0007763975155279503,4.130300902418642,282.6,0.38639999999999997,0.2185,0.2238,1,7.6,954.0,125.0,2630.0,3640.0,5920.0,10.3,17.6
0.0,0.1923076923076923,0.0,0.00641025641025641,0.0,0.1474358974358974,0.0,0.6538461538461539,0.0,0.0,0.4083601286173633,0.14790996784565916,0.4437299035369775,0.0019762845849802375,0.00790513833992095,3.3201958635028777,126.0,0.05059999999999999,0.031200000000000002,0.0311,1,7.6,120.0,57.0,660.0,470.0,450.0,8.1,26.0
0.0,0.07575757575757576,0.0,0.003787878787878788,0.0012626262626262627,0.09343434343434345,0.0,0.8257575757575758,0.0,0.0,0.5933250927070457,0.09765142150803462,0.30902348578491967,0.0021156558533145273,0.0042313117066290545,3.7139276668180035,86.0,0.1418,0.07919999999999999,0.0809,1,7.5,120.0,90.0,1200.0,1500.0,1700.0,10.0,33.0
0.0,0.25345622119815664,0.0,0.004608294930875576,0.0,0.16129032258064516,0.0,0.5806451612903226,0.0,0.0,0.4555808656036447,0.16173120728929388,0.3826879271070615,0.0014184397163120566,0.0070921985815602835,3.461543694661873,94.0,0.07050000000000001,0.0434,0.043899999999999995,1,7.5,220.0,84.0,810.0,580.0,710.0,8.2,29.0
0.0,0.10135135135135134,0.0,0.0033783783783783786,0.0,0.08783783783783783,0.0,0.8074324324324325,0.0,0.0,0.25418060200668896,0.2642140468227425,0.4816053511705686,0.00199203187250996,0.011952191235059759,3.3301760233789617,60.0,0.0502,0.0296,0.0299,1,7.6,59.0,32.0,690.0,550.0,270.0,4.0,34.0
0.0,0.23574144486692014,0.0,0.0038022813688212928,0.0,0.155893536121673,0.0,0.6045627376425856,0.0,0.0,0.3838771593090211,0.17466410748560462,0.44145873320537427,0.0011976047904191617,0.005988023952095808,3.5452031331770875,127.5,0.0835,0.0526,0.0521,1,7.6,250.0,99.0,1100.0,730.0,710.0,9.0,32.0
0.0,0.2148997134670487,0.0,0.004297994269340973,0.0,0.16618911174785098,0.0028653295128939827,0.6117478510028653,0.0,0.0,0.5470914127423823,0.10664819944598339,0.3462603878116344,0.000856898029134533,0.004284490145672665,3.659138182995791,146.0,0.1167,0.0698,0.0722,1,7.3,300.0,140.0,1200.0,980.0,1400.0,11.0,32.0
0.0,0.17361111111111113,0.0,0.0034722222222222225,0.0,0.14236111111111113,0.0,0.6805555555555556,0.0,0.0,0.3622183708838821,0.2045060658578856,0.43327556325823224,0.0010604453870625662,0.005302226935312831,3.592749537160903,105.0,0.09430000000000001,0.0576,0.0577,1,7.4,200.0,100.0,1200.0,900.0,740.0,8.9,30.0
0.0,0.3095558546433378,0.0,0.004037685060565275,0.0,0.15612382234185732,0.0,0.5275908479138627,0.0026917900403768506,0.0,0.6384180790960451,0.09887005649717515,0.2627118644067796,0.0008403361344537815,0.004201680672268907,3.6521596088617225,140.0,0.11900000000000001,0.0743,0.0708,1,7.4,460.0,140.0,890.0,900.0,1600.0,9.9,31.0
0.0,0.06796116504854369,0.0,0.0,0.00970873786407767,0.0,0.0,0.9223300970873786,0.0,0.0,0.6796116504854369,0.029126213592233007,0.2912621359223301,0.0026315789473684206,0.010526315789473682,3.1237128078130887,1270.0,0.038000000000000006,0.0206,0.0206,0,8.5,27.0,0.2,290.0,440.0,500.0,1.9,23.0
0.0,0.07381370826010544,0.0,0.00351493848857645,0.0070298769771529,0.00351493848857645,0.0,0.9121265377855888,0.0,0.0,0.764065335753176,0.007259528130671507,0.22867513611615248,0.000962463907603465,0.0028873917228103944,3.5383964361064075,1520.0,0.10389999999999999,0.0569,0.055099999999999996,0,8.5,83.0,2.8,610.0,1200.0,1500.0,9.1,20.0
0.0,0.05351629502572899,0.0,0.00137221269296741,0.0008576329331046313,0.027444253859348202,0.0,0.9164665523156089,0.0003430531732418525,0.0003570153516601214,0.6185290967511602,0.000535523027490182,0.3805783648696894,0.0032473922456209407,0.0,4.555744859850575,130.0,1.0162,0.583,0.5602,1,9.4,610.0,190.0,10000.0,12000.0,12000.0,31.0,0.7
0.0,0.24,0.0,0.005,0.0,0.16333333333333333,0.0033333333333333335,0.5883333333333334,0.0,0.0,0.425569176882662,0.17162872154115585,0.4028021015761821,0.0010649627263045794,0.004259850905218318,3.583021697671338,99.0,0.0939,0.06,0.0571,1,7.3,290.0,120.0,1100.0,810.0,860.0,10.0,27.0
0.0,0.35736677115987464,0.0,0.006269592476489029,0.0,0.20689655172413796,0.006269592476489029,0.42319749216300945,0.0,0.0,0.2909090909090909,0.2606060606060606,0.4484848484848485,0.0,0.00819672131147541,3.3500990142580314,97.0,0.048799999999999996,0.0319,0.033,1,7.3,230.0,81.0,710.0,310.0,340.0,8.8,25.0
0.0,0.4509803921568628,0.004901960784313726,0.004901960784313726,0.0,0.10294117647058824,0.0,0.43627450980392163,0.0,0.0,0.344139650872818,0.14713216957605985,0.5087281795511223,0.0016666666666666666,0.009999999999999998,3.437492017259191,222.0,0.060000000000000005,0.040799999999999996,0.0401,1,7.3,370.0,52.0,980.0,410.0,490.0,6.4,39.0
0.0,0.6870229007633587,0.0,0.003816793893129771,0.0,0.1450381679389313,0.0,0.16412213740458015,0.0,0.0,0.41796875,0.08984375,0.49218750000000006,0.0,0.014245014245014245,3.22780816473502,601.0,0.0351,0.0262,0.025599999999999998,1,7.4,360.0,47.0,610.0,98.0,380.0,5.1,31.0
0.0,0.513595166163142,0.0,0.006042296072507554,0.0,0.1268882175226586,0.0,0.3534743202416919,0.0,0.0,0.31269349845201244,0.19195046439628485,0.49535603715170284,0.002100840336134454,0.014705882352941178,3.350095852894187,263.0,0.047599999999999996,0.0331,0.032299999999999995,1,7.2,340.0,51.0,770.0,270.0,360.0,6.2,42.0
0.0,0.15656565656565655,0.0,0.002525252525252525,0.0008417508417508418,0.06734006734006734,0.0,0.7710437710437711,0.0016835016835016836,0.0,0.6676109537299338,0.05665722379603399,0.2757318224740321,0.00303030303030303,0.003535353535353535,3.842711523882761,96.0,0.198,0.1188,0.10590000000000001,1,7.4,370.0,97.0,1400.0,2100.0,2500.0,9.8,41.0
0.0,0.04930662557781202,0.0,0.002311248073959938,0.003852080123266564,0.0061633281972265025,0.0,0.9368258859784283,0.0015408320493066256,0.0,0.8935119887165021,0.0049365303244005634,0.10155148095909731,0.0007656967840735069,0.0011485451761102602,3.9151217132768044,1396.0,0.2612,0.1298,0.1418,0,8.0,130.0,10.0,690.0,2800.0,4500.0,13.0,17.0
0.0,0.14285714285714288,0.0,0.004464285714285715,0.0,0.0,0.0,0.8526785714285714,0.0,0.0,0.5772727272727273,0.022727272727272728,0.4,0.005154639175257732,0.005154639175257732,3.1573156977408625,1500.0,0.0388,0.0224,0.022,1,9.0,63.0,0.7,420.0,440.0,450.0,2.8,12.0
0.0,0.21568627450980396,0.0,0.001400560224089636,0.0,0.11204481792717089,0.0,0.6708683473389356,0.0,0.0,0.601063829787234,0.09308510638297873,0.3058510638297873,0.0008071025020177563,0.0032284100080710253,3.670103236305031,96.0,0.1239,0.07139999999999999,0.07519999999999999,1,7.1,310.0,98.0,1100.0,1100.0,1600.0,3.6,23.0
0.0,0.0835509138381201,0.0,0.005221932114882507,0.0,0.02610966057441253,0.0,0.8851174934725848,0.0,0.0,0.5208333333333334,0.14062500000000003,0.3385416666666667,0.005788712011577424,0.008683068017366135,3.4171919939046793,750.0,0.06910000000000001,0.0383,0.0384,1,7.6,65.0,13.0,630.0,780.0,710.0,6.6,39.0
0.0,0.12709030100334448,0.0,0.0033444816053511705,0.0,0.013377926421404682,0.0,0.8561872909698997,0.0,0.0,0.2980132450331126,0.09271523178807947,0.609271523178808,0.006036217303822938,0.012072434607645876,3.3270622047994047,678.0,0.049699999999999994,0.029900000000000003,0.030199999999999998,1,7.8,75.0,4.7,890.0,590.0,320.0,5.7,36.0
0.0,0.10810810810810811,0.0,0.003861003861003861,0.003861003861003861,0.04633204633204633,0.0,0.8378378378378378,0.0,0.0,0.46586345381526106,0.357429718875502,0.17670682730923698,0.0,0.01894736842105263,3.2566886958512073,118.0,0.0475,0.0259,0.0249,0,7.4,55.0,14.0,210.0,500.0,410.0,2.6,52.0
