model_Ba_molL_frac,model_Ca_molL_frac,model_Fe_molL_frac,model_K_molL_frac,model_Li_molL_frac,model_Mg_molL_frac,model_Mn_molL_frac,model_Na_molL_frac,model_Sr_molL_frac,model_Br_molL_frac,model_Cl_molL_frac,model_C_molL_frac,model_SO4_molL_frac,model_B_molL_frac,model_Si_molL_frac,TDS_log10,well_depth_ft,total_ion_molL,total_cations_eq,total_anions_eq,samp_id,Alk_mgL,state_alpha,Cluster,ph,Ca_mgL,Mg_mgL,SO4_mgL,Na_mgL,Cl_mgL,K_mgL,Si_mgL
0.0,0.035087719298245605,0.0,0.010319917440660473,0.0,0.04540763673890608,0.0,0.9071207430340557,0.0020639834881320948,0.0,0.940625,0.059375000000000004,0.0,0.0,0.001585623678646934,3.7617685553816167,1492.0,0.18920000000000003,0.09690000000000001,0.096,Proprietary,301.0,FL,1,8.5,70.0,54.0,4.0,2020.0,3200.0,41.0,17.0
0.0,0.12658227848101267,0.0,0.01687763713080169,0.0,0.20675105485232068,0.0,0.6413502109704642,0.008438818565400845,0.0,0.7854077253218884,0.06866952789699571,0.14592274678111586,0.0,0.003623188405797102,3.452572655825503,190.0,0.08279999999999998,0.0474,0.0466,Proprietary,147.0,FL,0,7.3,120.0,120.0,330.0,700.0,1300.0,30.0,17.0
0.0,0.11204481792717086,0.0,0.014005602240896357,0.0,0.19607843137254902,0.0,0.6694677871148459,0.008403361344537813,0.0,0.840108401084011,0.04336043360433605,0.11653116531165313,0.0,0.0023094688221709002,3.635991724957978,582.0,0.12990000000000002,0.0714,0.07379999999999999,Proprietary,147.0,FL,0,7.2,160.0,170.0,410.0,1100.0,2200.0,40.0,16.0
0.0,0.1137440758293839,0.0,0.014218009478672987,0.0,0.1990521327014218,0.0,0.6682464454976305,0.0047393364928909965,0.002336448598130841,0.822429906542056,0.08177570093457943,0.09345794392523364,0.0,0.00261437908496732,3.407543756026,1400.0,0.07650000000000001,0.042199999999999994,0.042800000000000005,Proprietary,163.4,FL,1,7.34,96.0,102.0,190.0,650.0,1250.0,22.0,14.0
0.0,0.15418502202643172,0.0,0.011013215859030838,0.0,0.18502202643171806,0.0,0.6409691629955948,0.00881057268722467,0.0021097046413502112,0.8312236286919831,0.06962025316455696,0.09704641350210971,0.0,0.003618817852834741,3.4445862484296073,900.0,0.08289999999999999,0.045399999999999996,0.0474,Proprietary,148.0,FL,0,7.21,140.0,102.0,220.0,670.0,1400.0,21.0,16.0
0.0,0.176056338028169,0.0,0.007042253521126761,0.0,0.176056338028169,0.0,0.6267605633802816,0.014084507042253521,0.00228236061297685,0.8542549722856211,0.10433648516465602,0.039126181936745996,0.0,0.0037404151860856555,3.2537692016901802,393.0,0.053470000000000004,0.0284,0.030670000000000003,Proprietary,140.0,FL,0,7.15,100.0,61.0,62.0,410.0,930.0,8.5,11.0
0.0,0.15573770491803277,0.0,0.00819672131147541,0.0,0.19262295081967212,0.0,0.6311475409836066,0.012295081967213113,0.0,0.8259023354564756,0.06794055201698515,0.1061571125265393,0.0,0.0035335689045936395,3.456325319909361,1058.0,0.08489999999999999,0.0488,0.047099999999999996,Proprietary,148.0,FL,0,7.28,154.0,114.0,240.0,710.0,1380.0,16.0,17.0
0.0,0.2018927444794953,0.0,0.00946372239747634,0.0,0.2018927444794953,0.0,0.5741324921135648,0.012618296529968456,0.0,0.7358490566037735,0.11320754716981131,0.15094339622641506,0.0,0.0036563071297989035,3.291642507398735,946.0,0.0547,0.0317,0.0318,Proprietary,168.0,FL,0,7.39,130.0,77.0,230.0,420.0,830.0,11.0,15.0
0.0,0.08333333333333331,0.0,0.02678571428571428,0.0,0.11309523809523808,0.0,0.7767857142857142,0.0,0.0,0.5232198142414861,0.14241486068111456,0.33436532507739947,0.0,0.013793103448275862,3.3447806657902897,500.0,0.058,0.033600000000000005,0.032299999999999995,Proprietary,230.0,FL,1,7.9,55.0,47.0,520.0,600.0,600.0,34.0,47.0
0.0,0.26666666666666666,0.0,0.012499999999999999,0.0,0.15,0.0,0.5625,0.008333333333333333,0.0,0.6396761133603239,0.1659919028340081,0.194331983805668,0.0,0.007228915662650602,3.1933138371308694,200.0,0.0415,0.024,0.0247,Proprietary,186.0,FL,0,7.3,130.0,44.0,230.0,310.0,560.0,9.8,18.0
0.0,0.20408163265306123,0.0,0.010204081632653062,0.0,0.23469387755102042,0.0,0.5306122448979592,0.020408163265306124,0.0,0.6615384615384615,0.14358974358974358,0.19487179487179487,0.0,0.00909090909090909,3.0923937835219166,1200.0,0.033,0.0196,0.0195,Proprietary,137.0,FL,0,7.62,82.0,56.0,180.0,240.0,460.0,7.8,16.0
0.0,0.1128048780487805,0.0,0.016768292682926834,0.0,0.20121951219512196,0.0,0.6631097560975611,0.006097560975609757,0.0,0.8532695374800637,0.04784688995215311,0.09888357256778309,0.0,0.005203816131830008,3.5802840839455716,613.0,0.11530000000000001,0.06559999999999999,0.0627,Proprietary,149.0,FL,1,7.7,150.0,160.0,300.0,1000.0,1900.0,44.0,34.0
0.0,0.30057803468208094,0.0,0.011560693641618498,0.0,0.18497109826589597,0.0,0.5028901734104047,0.0,0.0,0.5909090909090908,0.19318181818181815,0.21590909090909088,0.0,0.010309278350515462,3.0568489227968354,175.0,0.0291,0.0173,0.0176,Proprietary,162.0,FL,1,7.5,106.0,40.0,185.0,200.0,370.0,6.5,18.0
0.0,0.0927536231884058,0.0,0.014492753623188404,0.0,0.1797101449275362,0.0,0.7130434782608696,0.0,0.0,0.736231884057971,0.13623188405797104,0.127536231884058,0.0,0.0032102728731942215,3.3305160843240467,612.0,0.0623,0.0345,0.034499999999999996,Proprietary,226.0,FL,1,7.7,63.0,76.0,212.0,567.0,900.0,20.0,15.0
0.0,0.10544815465729349,0.0,0.017574692442882248,0.0,0.21792618629173988,0.0,0.648506151142355,0.010544815465729348,0.0,0.8155515370705244,0.05786618444846293,0.12658227848101267,0.0,0.002012072434607646,3.5231768816305653,803.0,0.0994,0.056900000000000006,0.0553,Proprietary,152.0,FL,0,7.5,120.0,150.0,340.0,850.0,1600.0,39.0,14.0
