model_Ba_molL_frac,model_Ca_molL_frac,model_Fe_molL_frac,model_K_molL_frac,model_Li_molL_frac,model_Mg_molL_frac,model_Mn_molL_frac,model_Na_molL_frac,model_Sr_molL_frac,model_Br_molL_frac,model_Cl_molL_frac,model_C_molL_frac,model_SO4_molL_frac,model_B_molL_frac,model_Si_molL_frac,TDS_log10,well_depth_ft,total_ion_molL,total_cations_eq,total_anions_eq,samp_id,Alk_mgL,state_alpha,Cluster,ph,Ca_mgL,Mg_mgL,SO4_mgL,Na_mgL,Cl_mgL,K_mgL,Si_mgL
0.0,0.49069373942470385,0.0,0.010152284263959388,0.0,0.18274111675126903,0.0,0.31641285956006765,0.0,0.0,0.24,0.03,0.73,0.0,0.006426735218508998,3.594972338626046,317.0,0.0778,0.05910000000000001,0.06,Proprietary,91.0,NM,1,7.9,580.0,130.0,2100.0,430.0,510.0,23.0,30.0
0.0,0.5657370517928286,0.0,0.00199203187250996,0.0,0.3625498007968127,0.0,0.0697211155378486,0.0,0.0,0.056112224448897796,0.026052104208416832,0.9178356713426854,0.0,0.011009174311926603,3.5205916278262475,440.0,0.05450000000000001,0.05020000000000001,0.0499,Proprietary,63.0,NM,1,7.7,570.0,220.0,2200.0,81.0,99.0,4.8,37.0
0.0,0.4,0.0,0.008979591836734694,0.0,0.05714285714285715,0.0,0.5338775510204081,0.0,0.0,0.468975468975469,0.22943722943722944,0.30158730158730157,0.0,0.0009416195856873824,3.938038357283087,1781.0,0.2124,0.1225,0.1386,Proprietary,951.0,NM,0,6.4,980.0,85.0,2000.0,1500.0,2300.0,43.0,12.0
0.0,0.5024154589371981,0.0,0.024154589371980676,0.0,0.11594202898550723,0.0,0.35748792270531404,0.0,0.0,0.21105527638190952,0.3065326633165829,0.48241206030150746,0.0,0.01342281879194631,3.161403912411247,160.0,0.0298,0.0207,0.0199,Proprietary,294.0,NM,1,7.7,210.0,29.0,460.0,170.0,150.0,21.0,23.0
0.0,0.5362035225048924,0.00391389432485323,0.011741682974559688,0.0,0.17612524461839532,0.0,0.27201565557729945,0.0,0.0,0.05565529622980251,0.19748653500897664,0.7468581687612208,0.0014705882352941178,0.0029411764705882357,3.574637362903667,784.0,0.06799999999999999,0.05109999999999999,0.0557,Proprietary,378.0,NM,1,6.6,550.0,110.0,2000.0,320.0,110.0,23.0,11.0
0.0,0.0639269406392694,0.0,0.004566210045662101,0.0,0.018264840182648404,0.0,0.9132420091324202,0.0,0.0,0.39914163090128757,0.10300429184549356,0.4978540772532189,0.0,0.015345268542199485,3.201470893488576,533.0,0.0391,0.0219,0.023299999999999998,nwisnm.01.98600652,118.0,NM,0,7.8,30.0,4.0,560.0,460.0,330.0,5.3,37.0
0.0,0.29411764705882354,0.0,0.04621848739495799,0.0,0.07563025210084034,0.0,0.5840336134453782,0.0,0.0,0.14942528735632182,0.7049808429118773,0.14559386973180075,0.0,0.03325942350332594,3.313006887346985,600.0,0.0451,0.023799999999999998,0.0261,nwisnm.01.97401788,775.0,NM,1,7.0,140.0,22.0,180.0,320.0,140.0,42.0,90.0
0.0,0.1624588364434687,0.0,0.0032930845225027433,0.0,0.002195389681668496,0.0,0.8298572996706914,0.002195389681668496,0.0,0.4972617743702081,0.00547645125958379,0.4972617743702081,0.0019607843137254897,0.0039215686274509795,3.774440822486912,1765.0,0.15300000000000002,0.09110000000000001,0.0913,nwisnm.01.00400087,28.0,NM,0,8.3,295.0,3.21,2180.0,1740.0,1610.0,11.2,36.9
0.0,0.3570127504553734,0.0,0.003642987249544627,0.0018214936247723135,0.11293260473588343,0.0,0.5209471766848817,0.003642987249544627,0.0,0.2967409948542024,0.20926243567753003,0.4939965694682676,0.0011560693641618496,0.006936416184971097,3.594503364210202,80.5,0.08650000000000001,0.0549,0.0583,nwisnm.01.01101910,545.0,NM,1,7.2,393.0,74.7,1380.0,657.0,613.0,9.03,38.6
0.0,0.5978260869565217,0.0,0.005434782608695653,0.0,0.33695652173913043,0.0,0.059782608695652176,0.0,0.0,0.05913978494623657,0.26344086021505375,0.6774193548387097,0.0,0.01339285714285714,3.1092150654932147,105.0,0.022400000000000003,0.0184,0.0186,nwisnm.01.96401369,213.0,NM,1,7.1,220.0,75.0,610.0,26.0,38.0,2.0,17.0
