model_Ba_molL_frac,model_Ca_molL_frac,model_Fe_molL_frac,model_K_molL_frac,model_Li_molL_frac,model_Mg_molL_frac,model_Mn_molL_frac,model_Na_molL_frac,model_Sr_molL_frac,model_Br_molL_frac,model_Cl_molL_frac,model_C_molL_frac,model_SO4_molL_frac,model_B_molL_frac,model_Si_molL_frac,TDS_log10,well_depth_ft,total_ion_molL,total_cations_eq,total_anions_eq,samp_id,Alk_mgL,state_alpha,Cluster,ph,Ca_mgL,Mg_mgL,SO4_mgL,Na_mgL,Cl_mgL,K_mgL,Si_mgL
0.0,0.009090909090909092,0.0,0.004545454545454546,0.0,0.009090909090909092,0.0,0.9772727272727273,0.0,0.0,0.2932692307692308,0.3605769230769231,0.34615384615384615,0.012594458438287154,0.005037783375314862,3.1963434571005536,431.0,0.0397,0.022,0.0208,19951012-1,380.0,TX,0,8.21,5.28,1.44,346.7,494.49,217.0,2.52,9.35
0.0,0.010638297872340425,0.0,0.005319148936170213,0.0,0.010638297872340425,0.0,0.9734042553191489,0.0,0.0,0.3247422680412371,0.37628865979381443,0.29896907216494845,0.00563380281690141,0.00563380281690141,3.14866572779792,340.0,0.0355,0.0188,0.0194,19950926-1,376.0,TX,0,8.55,4.7,1.24,282.8,419.9,222.0,2.33,9.74
0.0,0.01342281879194631,0.0,0.0033557046979865775,0.0,0.006711409395973155,0.0,0.9765100671140939,0.0,0.0,0.3594771241830065,0.22222222222222218,0.41830065359477125,0.005535055350553504,0.0036900369003690036,3.329115974503033,220.0,0.054200000000000005,0.0298,0.030600000000000002,19950926-1,330.0,TX,2,7.76,7.04,2.28,613.7,667.8,389.0,3.74,9.92
0.0,0.00975609756097561,0.0,0.024390243902439025,0.0,0.00975609756097561,0.0,0.9560975609756097,0.0,0.0,0.25630252100840334,0.27310924369747897,0.4705882352941176,0.002577319587628866,0.005154639175257732,3.218701025466767,502.0,0.0388,0.0205,0.0238,20120712-1,325.0,TX,0,8.13,5.97,2.45,541.0,451.0,216.0,18.3,9.39
0.0,0.08139534883720931,0.0,0.0,0.0,0.011627906976744186,0.0,0.9069767441860465,0.0,0.0,0.6783919597989949,0.26130653266331655,0.06030150753768843,0.0,0.008333333333333333,3.1064287588320587,194.0,0.036,0.0172,0.0199,19681212-1,249.0,TX,0,7.6,27.23,2.09,62.0,358.0,480.0,1.9,20.0
0.0,0.017543859649122806,0.0,0.0043859649122807015,0.0,0.008771929824561403,0.0,0.9692982456140351,0.0,0.0,0.6652719665271967,0.25941422594142255,0.07531380753138074,0.0,0.004376367614879651,3.1980294629565376,135.0,0.0457,0.0228,0.0239,19950914-1,303.0,TX,2,7.83,8.5,1.31,88.8,509.6,566.0,4.62,14.45
0.0,0.041884816753926704,0.0,0.010471204188481676,0.0,0.041884816753926704,0.0,0.9057591623036649,0.0,0.0,0.47391304347826085,0.09130434782608696,0.4347826086956522,0.0,0.0,3.1551689082313947,40.0,0.0363,0.0191,0.023,19701110-1,92.0,TX,2,7.1,14.82,9.72,483.0,399.0,387.0,6.0,2.0
0.0,0.10144927536231885,0.0,0.0,0.0,0.028985507246376812,0.0,0.8695652173913044,0.0,0.0,0.32748538011695905,0.41520467836257313,0.2573099415204678,0.0,0.010676156583629892,3.0712277174723934,62.0,0.0281,0.0138,0.0171,19701203-1,340.0,TX,0,7.7,26.43,5.83,208.0,276.0,200.0,1.0,20.0
0.0,0.12121212121212122,0.0,0.0,0.0,0.12121212121212122,0.0,0.7575757575757576,0.0,0.0,0.6,0.19047619047619047,0.20952380952380953,0.001926782273603083,0.007707129094412332,3.2908104365149793,36.0,0.051899999999999995,0.0264,0.0315,19710625-1,279.0,TX,2,7.4,63.68,39.6,321.0,461.0,670.0,1.0,23.0
0.0,0.0,0.0,0.005405405405405406,0.0,0.0,0.0,0.9945945945945946,0.0,0.0,0.32460732984293195,0.5811518324607331,0.09424083769633508,0.005390835579514826,0.005390835579514826,3.159367835189646,502.0,0.037099999999999994,0.0185,0.0191,20060809-1,580.0,TX,0,8.74,0.52,0.12,90.0,423.0,221.0,2.2,10.9
0.0,0.0,0.0,0.005617977528089888,0.0,0.0,0.0,0.9943820224719101,0.0,0.0,0.29714285714285715,0.6685714285714287,0.03428571428571429,0.0,0.005681818181818182,3.1324374384514404,940.0,0.0352,0.0178,0.017499999999999998,19860626-1,599.0,TX,0,8.5,0.56,0.09,27.0,409.0,184.0,3.0,14.0
0.0,0.005154639175257732,0.0,0.002577319587628866,0.0,0.0,0.0,0.9922680412371133,0.0,0.0,0.7282913165266107,0.2717086834733894,0.0,0.0,0.001342281879194631,3.384245714393772,550.0,0.0745,0.0388,0.035699999999999996,19930921-1,518.0,TX,2,8.88,2.12,0.29,4.0,886.0,923.0,5.0,7.0
0.0,0.0,0.0,0.003861003861003861,0.0,0.0,0.0,0.9961389961389961,0.0,0.0,0.6043956043956045,0.3924646781789639,0.0031397174254317113,0.0,0.0038804811796662787,3.249663573947388,440.0,0.05154,0.0259,0.02548,19860625-1,514.0,TX,0,8.6,1.84,0.27,3.85,593.0,548.0,2.0,12.0
0.0,0.005376344086021505,0.0,0.0026881720430107525,0.0,0.0,0.0,0.9919354838709677,0.0,0.0,0.7367021276595744,0.26329787234042556,0.0,0.0,0.0026702269692923898,3.3916318729831554,737.0,0.07490000000000001,0.037200000000000004,0.0376,19860716-1,505.0,TX,2,8.4,3.12,0.39,2.9,849.0,982.0,3.0,13.0
